lTid,cDealable,CurrencyPair,RateDateTime,RateBid,RateAsk
3712699123,D,AUD/JPY,2015-01-04 17:00:25.563000000,97.266000,97.376000
3712699160,D,AUD/JPY,2015-01-04 17:00:26.313000000,97.265000,97.375000
3712699552,D,AUD/JPY,2015-01-04 17:00:44.060000000,97.256000,97.353000
3712699568,D,AUD/JPY,2015-01-04 17:00:45.060000000,97.264000,97.357000
3712699587,D,AUD/JPY,2015-01-04 17:00:47.560000000,97.264000,97.356000
3712699633,D,AUD/JPY,2015-01-04 17:00:52.060000000,97.264000,97.357000
3712699637,D,AUD/JPY,2015-01-04 17:00:52.310000000,97.264000,97.361000
